cited_id,citing_id
3335,915
2566,915
3422,915
3123,915
2664,915
3036,915
3177,915
3856,916
3397,916
2534,916
3307,916
1690,917
2772,917
1799,917
3251,917
2912,917
1947,917
3099,917
3077,917
3429,917
3001,917
3316,918
2969,918
3929,919
639,923
2672,923
2083,925
1885,925
1947,925
1917,925
3137,925
3832,926
2494,926
3320,926
2878,926
2812,926
3984,927
3825,927
3443,933
2534,935
3504,935
3512,935
2685,935
3948,935
3077,935
3653,936
2880,937
1898,943
3968,947
3504,948
3251,948
2912,948
3938,948
2770,948
2329,949
3625,949
3676,950
1978,950
1846,951
3648,951
3597,951
2769,951
3259,954
3653,954
3464,956
925,957
3832,957
2685,958
3931,958
3179,958
3485,958
2573,958
4021,958
2371,958
1809,959
1656,959
1833,959
1792,959
2165,959
2520,959
3287,959
2808,959
3316,959
3870,959
3036,959
3238,959
2725,960
3455,962
1700,962
3053,962
3179,966
3307,966
2770,968
2078,968
2986,968
3724,968
2912,968
3484,969
2719,971
2729,971
3676,971
2360,971
3955,972
3760,972
3594,972
3307,972
3028,973
3051,973
3811,973
1731,978
3386,979
3496,979
3984,979
2662,980
2975,980
1816,983
3480,986
1504,988
3053,988
3485,989
2685,989
2709,989
3259,989
3673,995
3559,995
1545,996
2975,997
3259,999
3759,999
3011,1001
2850,1004
3158,1004
1570,1004
3825,1004
3307,1005
2685,1007
3400,1007
3307,1007
2912,1008
3107,1008
2078,1008
3154,1008
2669,1008
3091,1008
3668,1008
2803,1008
2050,1013
2735,1015
2343,1015
2719,1015
560,1015
3676,1015
3160,1015
2873,1015
2078,1016
2581,1016
2912,1016
2617,1016
3209,1016
3968,1016
1985,1017
2685,1018
3038,1018
3931,1018
2789,1018
3366,1019
3487,1021
2850,1022
3443,1022
3220,1022
521,1024
1952,1024
1962,1024
2148,1024
2148,1025
1725,1028
3702,1028
3559,1032
3742,1032
3036,1038
2001,1038
2150,1039
3650,1039
2685,1039
1973,1039
3287,1043
2215,1045
2933,1045
2083,1045
2312,1047
2502,1049
3279,1049
3523,1050
3429,1050
3828,1050
2001,1050
2797,1050
1504,1052
1991,1052
3210,1056
2364,1056
3696,1057
3782,1057
3650,1058
3601,1058
2986,1058
3464,1058
3825,1061
2656,1062
2664,1063
2075,1063
3485,1072
1825,1072
4011,1078
1985,1080
2986,1080
2044,1080
3365,1080
1689,1082
2573,1082
2685,1082
1573,1082
3584,1085
687,1092
3202,1092
1700,1092
1615,1092
1504,1094
2910,1097
1725,1098
3066,1098
3003,1098
1685,1100
3290,1100
3036,1100
2393,1100
3412,1100
2472,1103
2078,1103
2875,1103
3179,1103
2507,1103
3091,1103
3913,1103
3107,1103
1689,1104
3847,1104
2534,1104
2297,1104
3673,1105
3499,1105
994,1106
2433,1108
3051,1108
3676,1110
1869,1110
2735,1110
1678,1110
1569,1110
1833,1111
2602,1111
3579,1112
3695,1112
3912,1112
3426,1112
3887,1115
2383,1115
3956,1115
2924,1115
3696,1115
3673,1115
3369,1115
2597,1117
3487,1117
3366,1117
3695,1117
2519,1120
2979,1123
2566,1124
3455,1125
3454,1125
3571,1125
3243,1125
3202,1125
1772,1125
3422,1125
3911,1127
2685,1130
1656,1133
3704,1133
3684,1133
2850,1133
1570,1133
3287,1133
2969,1133
3417,1133
1656,1138
2534,1139
1179,1140
3784,1144
3001,1144
2797,1144
3790,1144
3420,1144
3675,1144
3948,1144
1962,1146
3045,1146
3225,1147
3615,1147
1972,1147
3117,1147
1898,1148
2650,1148
2685,1148
1719,1150
725,1152
2050,1152
1809,1152
2459,1152
2951,1154
1972,1155
2850,1155
1580,1155
3702,1161
2364,1162
3444,1164
2850,1164
1656,1164
3117,1164
3290,1164
1972,1164
3335,1164
3220,1164
2443,1164
1647,1164
3796,1164
2664,1164
1725,1168
3832,1169
3053,1169
2016,1169
1536,1170
1846,1170
3816,1172
2692,1176
3316,1176
1578,1176
1849,1177
2685,1177
1922,1177
925,1177
1504,1179
1853,1179
3061,1179
3694,1179
1892,1179
1614,1179
3927,1181
3363,1181
2620,1181
2744,1181
2558,1181
2714,1185
3704,1185
3599,1185
3335,1185
3036,1185
3584,1186
1445,1186
3016,1187
1849,1189
32,1189
3036,1189
3128,1189
2850,1191
3210,1193
2057,1193
3742,1197
2814,1197
1731,1197
2298,1197
2924,1201
2880,1209
2261,1210
605,1212
1580,1212
2165,1212
1852,1212
2664,1212
3512,1212
645,1213
2583,1213
1772,1214
3485,1215
3653,1215
3968,1215
3259,1215
3122,1215
3902,1215
2685,1215
3117,1215
3290,1215
3210,1216
2364,1216
3847,1219
3559,1219
3968,1219
3923,1219
1742,1219
3605,1219
3597,1219
3857,1219
2215,1220
2699,1221
3497,1221
2894,1222
3036,1223
3832,1224
3772,1224
1816,1224
3837,1224
605,1226
3444,1227
3290,1227
3137,1227
2757,1227
3496,1227
1811,1234
2735,1234
1743,1234
1455,1234
1569,1234
2719,1234
560,1234
3484,1234
2067,1234
1678,1234
753,1235
3307,1237
2366,1237
2980,1237
1947,1240
2650,1242
2789,1242
1685,1242
3485,1242
2433,1250
3060,1252
3011,1252
2975,1252
3790,1252
2924,1252
3673,1252
3077,1252
3775,1252
2494,1253
1816,1253
3956,1254
2979,1254
2008,1257
2831,1257
2650,1257
2150,1259
3464,1259
1925,1262
3982,1266
1914,1267
3968,1272
3556,1283
3429,1283
2494,1285
2714,1286
3704,1286
2149,1287
1823,1287
3485,1289
3887,1291
1925,1291
2148,1291
753,1292
910,1292
521,1292
3115,1294
3615,1294
3350,1295
3599,1302
3825,1302
1656,1302
1869,1308
2479,1310
2037,1310
1011,1311
3235,1312
2193,1312
3038,1319
3112,1319
2684,1319
3179,1319
2699,1320
3497,1320
2534,1322
3307,1322
2656,1322
3588,1322
3397,1322
3307,1324
2685,1324
3485,1324
2150,1324
3982,1324
1711,1324
2534,1324
1683,1325
3369,1327
3673,1327
3287,1330
3497,1332
2403,1335
3210,1337
3825,1337
2844,1340
3694,1340
3468,1340
3287,1341
1839,1341
1689,1341
3662,1343
3485,1346
3979,1346
3856,1346
2685,1346
3804,1346
2573,1346
1580,1346
3038,1346
3307,1346
2680,1346
3397,1346
3911,1346
2685,1347
3397,1352
3485,1352
3307,1352
2656,1352
1719,1352
1573,1352
3024,1352
3525,1352
3967,1352
3757,1352
2472,1352
2685,1352
2533,1352
2893,1352
3705,1352
2887,1352
1510,1352
1833,1352
3117,1352
2148,1352
3505,1352
2501,1352
1852,1352
1623,1352
3415,1352
1972,1352
1898,1352
2680,1352
2650,1352
1685,1352
2165,1352
2664,1352
2602,1352
3290,1352
3805,1352
3562,1352
3611,1352
2376,1352
1772,1352
3118,1352
3493,1352
1934,1352
2961,1352
3108,1352
2928,1352
3487,1352
3011,1352
1792,1352
3091,1352
1806,1352
3878,1352
3693,1352
2797,1352
2078,1352
3179,1352
3804,1352
3760,1352
3088,1352
3041,1352
2909,1352
3367,1352
1947,1352
3034,1352
3176,1352
2952,1352
3381,1352
3724,1352
3803,1352
3988,1352
2770,1352
3668,1352
3272,1352
2631,1352
2803,1352
2967,1352
2445,1352
3479,1352
2992,1352
3464,1352
1535,1352
3662,1352
3597,1352
3190,1352
3654,1352
3366,1353
2633,1353
2848,1353
1972,1353
2928,1354
3693,1355
3618,1355
3760,1355
3913,1355
3668,1355
3832,1357
2831,1361
3288,1361
2165,1361
2910,1361
2951,1361
910,1361
1898,1367
1917,1368
3757,1368
2993,1368
3001,1368
3704,1369
3197,1369
3210,1369
3287,1369
3439,1369
3825,1369
2364,1369
3929,1369
3894,1369
2383,1372
2075,1377
3290,1377
3156,1377
3308,1377
3335,1377
3372,1379
2835,1380
2977,1384
3485,1387
419,1388
2656,1394
3793,1397
2979,1397
1504,1397
3504,1397
2507,1399
2752,1399
2992,1399
2593,1401
2958,1401
3461,1401
2882,1402
3444,1402
3419,1402
2510,1402
3444,1404
3290,1404
2165,1404
4011,1405
3128,1406
1133,1407
466,1407
2692,1407
3197,1407
1972,1407
3825,1407
3287,1407
3704,1407
2952,1408
2507,1408
3429,1408
3611,1408
1898,1410
3036,1412
2689,1412
1824,1412
3158,1412
2969,1412
3653,1414
2685,1414
3968,1414
3760,1414
3923,1414
3605,1414
2992,1414
3668,1414
3455,1419
2755,1419
1899,1419
1535,1419
2016,1419
2812,1419
3671,1419
1885,1419
2986,1422
2979,1422
3673,1422
3001,1425
3137,1425
3776,1425
3991,1425
3618,1425
1875,1425
2984,1427
3485,1430
1952,1430
1899,1430
2656,1430
2137,1430
3594,1430
1816,1430
3387,1430
2297,1430
1772,1430
3662,1430
2519,1430
2995,1430
3053,1431
3685,1431
3238,1431
3278,1431
3984,1431
1979,1431
3671,1431
2755,1433
3117,1433
3839,1433
3704,1442
3003,1442
1656,1443
3704,1443
1570,1443
1369,1443
3832,1444
2676,1444
1899,1444
3238,1444
2699,1444
3259,1448
3989,1448
2371,1449
3307,1451
2371,1452
2464,1455
1734,1455
3717,1455
2075,1456
1849,1456
3417,1456
2719,1459
1287,1459
1950,1464
3126,1464
2685,1465
3485,1466
3166,1466
1504,1466
1985,1466
2887,1466
3856,1466
2573,1466
2848,1466
3662,1466
1824,1468
3063,1468
3485,1472
2573,1472
3967,1472
3982,1472
3809,1472
2371,1472
3931,1472
3601,1472
3801,1472
1725,1475
2814,1477
1734,1477
2067,1477
1869,1477
3000,1479
2083,1479
1570,1479
2364,1479
3894,1479
1656,1479
1133,1479
3704,1479
3672,1480
2729,1480
3837,1480
2088,1484
1179,1485
2934,1485
3274,1485
3911,1485
1668,1487
3238,1488
3070,1488
3497,1488
1567,1492
2078,1492
3307,1494
1889,1495
2078,1496
2803,1496
2685,1496
3153,1496
3420,1496
3551,1496
2890,1497
3598,1497
2312,1500
2725,1500
1839,1501
3504,1501
3307,1501
2771,1501
3246,1501
2534,1504
3504,1504
3225,1504
2685,1504
3397,1504
2746,1504
2692,1504
3202,1504
3197,1504
3927,1504
3905,1504
3978,1504
3432,1504
2887,1504
3272,1504
2755,1504
3871,1505
1872,1506
1660,1506
3369,1507
3359,1510
2975,1510
2757,1510
2664,1510
3984,1510
3523,1510
3828,1510
2148,1510
3670,1513
3512,1514
3929,1514
3499,1514
3550,1519
2850,1519
3704,1519
3117,1519
2757,1520
1535,1520
1917,1520
2770,1520
2993,1520
3013,1523
3512,1523
3108,1524
3137,1524
2770,1524
3678,1524
3832,1526
1549,1526
3504,1527
3077,1527
2176,1528
3379,1528
3554,1528
3011,1528
3036,1529
3666,1532
2685,1532
3419,1532
3839,1532
3620,1533
3363,1533
3297,1535
2186,1536
2553,1536
2534,1536
2551,1537
2383,1539
3883,1539
4038,1540
3238,1541
3856,1541
2535,1546
2938,1546
2684,1546
2067,1546
2873,1546
2593,1546
3117,1549
3673,1556
3498,1556
3353,1557
3075,1557
3484,1557
2958,1557
3258,1565
3497,1566
2751,1566
3685,1566
3115,1566
3070,1566
3913,1567
3946,1567
2118,1568
3676,1568
2529,1568
2855,1569
3676,1569
2873,1569
3704,1570
3684,1570
2850,1570
3000,1570
3825,1570
3929,1570
3894,1570
3849,1572
2008,1573
2979,1573
3900,1573
3142,1573
2650,1573
2809,1573
3325,1573
3507,1573
3676,1573
3762,1573
1933,1573
3940,1573
3179,1577
2685,1577
3086,1578
2850,1578
2692,1578
2327,1578
3128,1578
3417,1578
3832,1580
2013,1580
3671,1580
2986,1581
2913,1584
2215,1584
3243,1584
1853,1585
2624,1585
3415,1587
3497,1589
3197,1589
3782,1590
2765,1590
1623,1590
3426,1590
3889,1590
3116,1591
3305,1594
1536,1594
2067,1597
1973,1598
3330,1599
3837,1599
2635,1601
3174,1603
3676,1603
3145,1605
3126,1606
2901,1606
3485,1607
2721,1607
1636,1607
3397,1607
2371,1607
2941,1609
2735,1610
3075,1610
3036,1611
3512,1611
3290,1611
3345,1611
3316,1613
3251,1613
2408,1613
1772,1613
3671,1614
1950,1617
3456,1617
2812,1617
3194,1618
3666,1619
3956,1619
3790,1619
3455,1621
3685,1621
3783,1621
3671,1621
2197,1622
3212,1622
3956,1623
3650,1623
3695,1623
3645,1623
3379,1623
3189,1623
3811,1624
3243,1626
3202,1626
3760,1627
3280,1627
3816,1630
3485,1636
3931,1636
2685,1636
3804,1636
3307,1636
2848,1637
2514,1637
2150,1638
3353,1639
3742,1639
2938,1639
2550,1639
3676,1639
2873,1639
2593,1639
3798,1641
2215,1641
3671,1641
1887,1641
2980,1642
3616,1643
2968,1644
2366,1644
3713,1645
3359,1646
2986,1646
2685,1646
3186,1646
3429,1646
2890,1647
