doc_id,label,year,local_citations,global_citations
587,Thalor M. (2025),2025,0,0
589,Waykar Y.A. (2025),2025,0,0
590,Salam R. (2025),2025,0,8
591,Fu Y. (2025),2025,1,9
592,Chen B. (2025),2025,0,43
593,Woo H. (2025),2025,0,8
594,Song Y. (2025),2025,1,3
595,Dey S. (2025),2025,1,6
600,Mentesidis P. (2025),2025,0,0
603,Yarveysi F. (2025),2025,0,10
604,Pillai R.M. (2025),2025,0,0
605,Kopiika N. (2025),2025,5,39
607,Aydin M. (2025),2025,0,0
609,Zhai W. (2025),2025,0,3
610,Wu X. (2025),2025,0,0
611,Saini M.L. (2025),2025,0,0
612,Bukhari S.A.S. (2025),2025,1,5
614,Raj A. (2025),2025,0,0
616,Abdalzaher M.S. (2025),2025,0,1
617,Singla S. (2025),2025,0,0
625,Chen B. (2025),2025,0,0
626,Zhang Y. (2025),2025,0,6
629,Jhong B.-C. (2025),2025,0,0
633,Kamble D.M. (2025),2025,1,1
634,Kong L. (2025),2025,0,20
639,Moreno Gonzalez C.L. (2025),2025,2,2
641,Gilga C. (2025),2025,0,3
643,Murthy D. (2025),2025,0,3
644,Qin G. (2025),2025,0,5
645,Wang Y. (2025),2025,3,34
646,Anis K.R. (2025),2025,0,1
647,Akinsoji A.H. (2025),2025,1,6
651,Ren T. (2025),2025,0,2
653,Singh R. (2025),2025,0,3
654,Sener A. (2025),2025,0,2
655,Mikail A.A. (2025),2025,0,0
659,Arora J. (2025),2025,0,0
660,Vaiapury S. (2025),2025,0,0
662,Yin H. (2025),2025,0,2
667,Kumar S. (2025),2025,0,0
668,Kerle N. (2025),2025,0,1
669,Precilla M.J. (2025),2025,0,1
670,Zhao Y. (2025),2025,0,13
671,Gorthi L.S.A. (2025),2025,0,0
672,Wang W. (2025),2025,0,1
673,Shankar G. (2025),2025,0,3
674,Vidhyasagar B. (2025),2025,0,0
675,VanExel K. (2025),2025,2,13
676,Chatterjee D. (2025),2025,0,0
677,Qu Y. (2025),2025,0,10
678,Chang L.-C. (2025),2025,0,10
679,Qasaymeh M.A.S. (2025),2025,0,0
682,Rishi N. (2025),2025,0,1
683,Li R. (2025),2025,2,13
684,Lamba S. (2025),2025,0,2
685,Sharma P. (2025),2025,0,0
686,Zhang G. (2025),2025,1,6
687,Ke E. (2025),2025,1,48
691,Naibi S. (2025),2025,0,2
694,Singh V. (2025),2025,0,1
695,Zhou Y. (2025),2025,0,0
696,Peng W. (2025),2025,0,32
697,Sirsant S. (2025),2025,0,3
700,Elbohy S.E. (2025),2025,0,1
703,Alnaddaf M.M. (2025),2025,0,0
704,Kudaibergenov M. (2025),2025,1,17
706,Krasniqi E. (2025),2025,0,0
708,Gu D.L. (2025),2025,2,11
709,Saquella S. (2025),2025,0,0
710,Li C. (2025),2025,0,1
712,Zhao J. (2025),2025,0,9
713,Imran M. (2025),2025,0,2
714,Ahmad M. (2025),2025,0,6
716,Parthasarathi M.A. (2025),2025,0,0
717,AbdElkarim O. (2025),2025,0,0
718,Sarkar P. (2025),2025,0,6
720,Basit M.B. (2025),2025,0,0
724,Gomroki M. (2025),2025,1,15
725,Braik A.M. (2025),2025,3,9
731,Siavrakas M. (2025),2025,0,2
733,Shen Y. (2025),2025,0,12
734,Al Shafian S. (2025),2025,0,2
735,Vatamany L. (2025),2025,0,6
738,Braik A.M. (2025),2025,0,0
742,Melavanki N. (2025),2025,0,0
744,Al Maamari R.H.H. (2025),2025,0,1
745,Fu Z. (2025),2025,1,5
749,Guha S. (2025),2025,0,0
753,Sultania S. (2025),2025,2,3
754,Singh K. (2025),2025,1,2
756,Gerontopoulos A. (2025),2025,2,1
763,Azizi A. (2025),2025,1,4
766,Wang Z. (2025),2025,0,3
767,Paul P.M. (2025),2025,0,0
769,Cambrin D.R. (2025),2025,0,4
773,Quero C.O. (2025),2025,0,49
774,Amiran A. (2025),2025,0,1
775,Komendantova N. (2025),2025,0,10
777,Liu Z. (2025),2025,0,7
779,Ezaki Y. (2025),2025,0,1
783,Ding Y. (2025),2025,0,10
786,Sun S. (2025),2025,0,1
787,Saleem M.A. (2025),2025,0,7
791,Ahmad I. (2025),2025,0,40
792,Chen L. (2025),2025,0,3
799,Ambarkar B. (2025),2025,0,0
800,Zhang S. (2025),2025,0,1
801,Dogan A. (2025),2025,0,9
802,Andrae S. (2025),2025,0,6
806,He Z. (2025),2025,0,1
807,Anon (2025),2025,0,0
811,Aderyani F.R. (2025),2025,4,26
815,Adhikari S. (2025),2025,0,3
816,Sidharta S. (2025),2025,0,0
817,Takyi S. (2025),2025,0,4
819,Wen L. (2025),2025,1,10
820,Dar S.S. (2025),2025,3,24
822,Raj A. (2025),2025,1,2
824,Benisha Chris A. (2025),2025,0,0
825,Razavi-Termeh S.V. (2025),2025,0,13
827,Tang Z. (2025),2025,0,6
828,Shirani K. (2025),2025,0,0
831,Thalor M. (2025),2025,0,0
832,Singla A. (2025),2025,0,2
836,Spatharis E. (2025),2025,0,0
837,Sassi M. (2025),2025,0,2
839,Gunkel J. (2025),2025,1,6
841,Chauhan B.V.S. (2025),2025,0,0
842,Afrin T. (2025),2025,0,4
844,Abid S.K. (2025),2025,1,4
846,Bhatti M.K. (2025),2025,0,10
848,Lu J. (2025),2025,0,13
854,Xu Z. (2025),2025,0,2
855,Satpati S. (2025),2025,0,0
856,Wahid J.A. (2025),2025,1,13
857,Hanny D. (2025),2025,1,4
859,Ganguly S. (2025),2025,0,0
861,He C. (2025),2025,0,5
865,Reddy N.C.M. (2025),2025,0,0
866,Le N. (2025),2025,0,0
867,Nazari R. (2025),2025,1,20
868,Zhang Z. (2025),2025,0,7
870,Rodriguez C. (2025),2025,0,0
877,Savitha G. (2025),2025,1,4
879,Joseph A. (2025),2025,0,1
882,Abbas S. (2025),2025,0,1
884,Chauhan B.V.S. (2025),2025,0,1
885,Ambarkar B. (2025),2025,0,1
886,Chandra N. (2025),2025,0,3
887,Kumar R. (2025),2025,0,0
889,Zhao Z. (2025),2025,1,4
890,Madhusudhan Reddy M. (2025),2025,0,0
894,Shirwaikar R. (2025),2025,0,3
895,Zhang W. (2025),2025,0,17
897,Zhao Q. (2025),2025,1,4
898,Chauhan B.V.S. (2025),2025,0,0
899,Akshay S. (2025),2025,0,0
900,Pandey P. (2025),2025,0,0
904,Chen Y. (2025),2025,1,4
906,Shu H. (2025),2025,0,4
907,Sun C. (2025),2025,1,7
910,Inyang S. (2025),2025,2,5
911,Siddharth S. (2025),2025,0,1
913,Indrakumara T.V. (2025),2025,0,0
914,Sonmez N. (2025),2025,0,1
915,Setijadi Prihatmanto A. (2025),2025,0,10
916,Vedrtnam A. (2025),2025,0,1
917,Wang Y. (2025),2025,1,2
918,Jiang X. (2025),2025,0,4
919,Sener A. (2025),2025,0,0
923,Moreno Gonzalez C.L. (2025),2025,0,5
925,Guo Q. (2025),2025,3,26
926,Yang H. (2025),2025,0,0
927,Bhonde S.B. (2025),2025,0,0
933,Siri M.M. (2025),2025,0,0
935,Shukla P. (2025),2025,1,5
936,Hafsa N.E. (2025),2025,0,4
937,Zheng J. (2025),2025,0,4
943,Hu D. (2025),2025,0,0
947,Singh S.P. (2025),2025,0,1
948,Han Y. (2025),2025,0,7
949,Bera S. (2025),2025,0,4
950,Sharma A. (2025),2025,0,0
951,Reddy G.M.V. (2025),2025,0,1
954,Jeba S.M. (2025),2025,0,3
956,He C. (2025),2025,0,0
957,Xie Z. (2025),2025,0,4
958,Hamid H. (2025),2025,0,4
959,Kulkarni S.S. (2025),2025,1,1
960,Wang J. (2025),2025,0,0
962,Zhang H. (2025),2025,0,0
966,Ruiz-Diaz J. (2025),2025,0,1
968,Sun K. (2025),2025,1,1
969,Prakash N. (2025),2025,0,0
971,Dong A. (2025),2025,0,0
972,Addison L.M. (2025),2025,0,0
973,Pan X. (2025),2025,0,0
978,Han Z. (2025),2025,0,2
979,Nishat F.Z. (2025),2025,0,5
980,Saquella S. (2025),2025,0,0
983,Jiao Y. (2025),2025,0,0
986,Menon V. (2025),2025,1,7
988,Saleem M. (2025),2025,0,0
